,osmid,oneway,highway,length,geometry,ref,name,bridge,tunnel,lanes,maxspeed,service,junction,width,access
4784,469064471,False,service,45.864,,,연암공원로,,,,,,,,
4785,469064471,False,service,16.303,,,연암공원로,,,,,,,,
4786,469064475,False,service,62.034,,,연암공원로30길,,,,,,,,
4787,469064474,False,residential,61.654,,,연암공원로32길,,,,,,,,
4788,469064474,False,residential,29.372,,,연암공원로32길,,,,,,,,
4789,469064475,False,service,64.527,,,연암공원로30길,,,,,,,,
4790,469064472,False,service,76.342,,,연암공원로32길,,,,,,,,
4791,469064472,False,service,64.762,,,연암공원로32길,,,,,,,,
4792,469064476,False,service,29.906,,,동북로26길,,,,,,,,
4793,469064482,False,service,31.009,,,동북로26길,,,,,,,,
4794,469064476,False,service,59.566,,,동북로26길,,,,,,,,
4795,469064476,False,service,60.295,,,동북로26길,,,,,,,,
4796,469064477,False,service,143.714,,,동북로26길,,,,,,,,
4797,469064474,False,residential,59.154,,,연암공원로32길,,,,,,,,
4798,469064474,False,residential,61.654,,,연암공원로32길,,,,,,,,
4799,469064477,False,service,143.714,,,동북로26길,,,,,,,,
4800,469064476,False,service,54.416,,,동북로26길,,,,,,,,
4801,469064476,False,service,59.566,,,동북로26길,,,,,,,,
4802,469064478,False,service,144.626,,,산격로19길,,,,,,,,
4803,469064474,False,residential,55.856,,,연암공원로32길,,,,,,,,
4804,469064474,False,residential,59.154,,,연암공원로32길,,,,,,,,
4805,469064478,False,service,144.626,,,산격로19길,,,,,,,,
4806,469066165,False,living_street,26.697,,,산격로19길,,,,,,,,
4807,469064475,False,service,64.527,,,연암공원로30길,,,,,,,,
4808,469064475,False,service,80.288,,,연암공원로30길,,,,,,,,
4809,469064479,False,service,29.941,,,동북로28길,,,,,,,,
4810,469064476,False,service,30.692,,,동북로26길,,,,,,,,
4811,469064476,False,service,29.906,,,동북로26길,,,,,,,,
4812,"[469064480, 734613442]",False,service,77.388,"LINESTRING (128.6066716 35.9008274, 128.6069131 35.90063, 128.6072908 35.9003451)",,"['동북로26길', '동북로28길']",,,,,,,,
4813,"[469064481, 734613443]",False,service,63.386,"LINESTRING (128.6066716 35.9008274, 128.606422 35.9010189, 128.6061601 35.9012189)",,"['동북로26길', '연암공원로']",,,,,,,,
4814,469064479,False,service,28.265,,,동북로28길,,,,,,,,
4815,469064479,False,service,29.941,,,동북로28길,,,,,,,,
4816,"[469064480, 734613442]",False,service,77.388,"LINESTRING (128.6072908 35.9003451, 128.6069131 35.90063, 128.6066716 35.9008274)",,"['동북로26길', '동북로28길']",,,,,,,,
4817,469064471,False,service,13.555,,,연암공원로,,,,,,,,
4818,469064471,False,service,32.915,,,연암공원로,,,,,,,,
4819,"[469064481, 734613443]",False,service,63.386,"LINESTRING (128.6061601 35.9012189, 128.606422 35.9010189, 128.6066716 35.9008274)",,"['동북로26길', '연암공원로']",,,,,,,,
4820,469064482,False,service,30.97,,,동북로26길,,,,,,,,
4821,469064482,False,service,31.009,,,동북로26길,,,,,,,,
4822,"[734613441, 469064483]",False,service,76.124,"LINESTRING (128.6071376 35.9012239, 128.6074249 35.9010121, 128.6077535 35.9007552)",,"['동북로26길', '동북로28길']",,,,,,,,
4823,469064469,False,service,33.525,,,동북로28길,,,,,,,,
4824,469064469,False,service,38.963,,,동북로28길,,,,,,,,
4825,"[734613441, 469064483]",False,service,76.124,"LINESTRING (128.6077535 35.9007552, 128.6074249 35.9010121, 128.6071376 35.9012239)",,"['동북로26길', '동북로28길']",,,,,,,,
4826,469066162,False,service,71.878,,,,,,,,,,,
4827,469066162,False,service,91.32900000000001,"LINESTRING (128.6055894 35.9013692, 128.6056909 35.9016496, 128.6061014 35.9020612)",,,,,,,,,,
4828,469066163,False,service,50.559,"LINESTRING (128.6055894 35.9013692, 128.6057728 35.9012295, 128.606057 35.9011301)",,연암공원로,,,,,,,,
4829,469064471,False,service,16.303,,,연암공원로,,,,,,,,
4830,469064471,False,service,13.555,,,연암공원로,,,,,,,,
4831,469066163,False,service,50.559,"LINESTRING (128.606057 35.9011301, 128.6057728 35.9012295, 128.6055894 35.9013692)",,연암공원로,,,,,,,,
4832,469066167,False,residential,35.761,,,산격로17길,,,,,,,,
4833,471338110,False,residential,37.529,,,산격로,,,,,,,,
4834,583504335,False,tertiary,147.577,,,산격로,,,2,,,,,
4835,583504335,False,tertiary,80.85199999999999,"LINESTRING (128.6060635 35.8976263, 128.60607 35.89763, 128.6054539 35.8971101)",,산격로,,,2,,,,,
4836,469066181,False,living_street,2.988,,,연암공원로32길,,,,,,,,
4837,469066185,False,residential,13.899,,,연암공원로32길,,,,,,,,
4838,469066189,False,residential,94.787,,,연암공원로32길,,,,,,,,
4839,469066167,False,residential,25.794,,,산격로17길,,,,,,,,
4840,469066179,False,residential,92.456,,,산격로17길,,,,,,,,
4841,734613447,False,residential,85.794,,,연암공원로32길,,,,,,,,
4842,469066181,False,living_street,27.074,"LINESTRING (128.6055902 35.8980247, 128.6054798 35.8979421, 128.6053694 35.8978595)",,연암공원로32길,,,,,,,,
4843,469066184,False,residential,117.342,,,산격로13길,,,,,,,,
4844,469066193,False,living_street,54.455,,,산격로13길,,,,,,,,
4845,734613437,False,residential,43.231,,,산격로13길,,,,,,,,
4846,734613458,False,living_street,49.309,,,연암공원로14길,,,,,,,,
4847,469066184,False,residential,46.602,,,산격로13길,,,,,,,,
4848,469066184,False,residential,4.736,,,산격로13길,,,,,,,,
4849,469066185,False,residential,32.992,,,연암공원로32길,,,,,,,,
4850,469066184,False,residential,46.602,,,산격로13길,,,,,,,,
4851,583504335,False,tertiary,24.099999999999998,"LINESTRING (128.6053125 35.8969285, 128.60535 35.89696, 128.60544 35.8971, 128.6054539 35.8971101)",,산격로,,,2,,,,,
4852,583504335,False,tertiary,98.615,"LINESTRING (128.6053125 35.8969285, 128.60526 35.89675, 128.6052466 35.8960984, 128.6052627 35.8960484)",,산격로,,,2,,,,,
4853,469066187,False,residential,25.598,,,연암공원로20길,,,,,,,,
4854,469066189,False,residential,28.87,,,연암공원로32길,,,,,,,,
4855,734613437,False,residential,43.231,,,산격로13길,,,,,,,,
4856,469066193,False,living_street,54.455,,,산격로13길,,,,,,,,
4857,469066196,False,residential,58.911,"LINESTRING (128.602859 35.8971051, 128.6022978 35.8972055, 128.6023097 35.897269)",,산격로13길,,,,,,,,
4858,734613436,False,living_street,34.294,"LINESTRING (128.602859 35.8971051, 128.6028349 35.8973311, 128.6028783 35.8974047)",,산격로13길,,,,,,,,
4859,"[734613453, 471339039]",False,living_street,76.738,"LINESTRING (128.602859 35.8971051, 128.6030846 35.8968423, 128.6031174 35.8967626, 128.6031051 35.8966296, 128.6032667 35.8965511)",,"['산격로13길', '연암공원로14길']",,,,,,,,
4860,469066194,False,residential,39.99,,,연암공원로,,,,,,,,
4861,469066191,False,living_street,51.139,"LINESTRING (128.6028783 35.8974047, 128.6029341 35.8975266, 128.6029172 35.8978562)",,연암공원로20길,,,,,,,,
4862,734613436,False,living_street,34.294,"LINESTRING (128.6028783 35.8974047, 128.6028349 35.8973311, 128.602859 35.8971051)",,산격로13길,,,,,,,,
4863,469066198,False,service,19.573,,,연암공원로,,,,,,,,
4864,469066198,False,service,39.587,,,연암공원로,,,,,,,,
4865,469066199,False,service,29.678,,,산격로13길,,,,,,,,
4866,469066199,False,service,92.813,,,산격로13길,,,,,,,,
4867,469066199,False,service,29.678,,,산격로13길,,,,,,,,
4868,469066201,False,service,17.573,,,산격로13길,,,,,,,,
4869,471339030,False,service,39.679,,,산격로13길,,,,,,,,
4870,469066199,False,service,92.813,,,산격로13길,,,,,,,,
4871,734613454,False,residential,36.148,,,산격로13길,,,,,,,,
4872,469066196,False,residential,58.911,"LINESTRING (128.6023097 35.897269, 128.6022978 35.8972055, 128.602859 35.8971051)",,산격로13길,,,,,,,,
4873,"[734613434, 469066206]",False,living_street,88.366,"LINESTRING (128.6023097 35.897269, 128.6021643 35.8969921, 128.6021697 35.8968923, 128.6021912 35.8964988)",,"['산격로13길', '연암공원로14길']",,,,,,,,
4874,469066201,False,service,35.389,,,산격로13길,,,,,,,,
4875,469066201,False,service,17.573,,,산격로13길,,,,,,,,
4876,469066203,False,service,32.186,,,,,,,,,,,
4877,469066198,False,service,22.699,,,연암공원로,,,,,,,,
4878,469066198,False,service,19.573,,,연암공원로,,,,,,,,
4879,469066203,False,service,32.186,,,,,,,,,,,
4880,469066204,False,living_street,15.176,,,연암공원로14길,,,,,,,,
4881,734613458,False,living_street,49.309,,,연암공원로14길,,,,,,,,
4882,469294671,False,residential,137.562,"LINESTRING (128.603433 35.8965292, 128.6041207 35.8965333, 128.6042967 35.8964961, 128.6044438 35.8964128, 128.6045287 35.8963045, 128.6045766 35.8961426, 128.6045757 35.8960501)",,연암공원로14길,,,,,,,,
4883,469066204,False,living_street,68.575,,,연암공원로14길,,,,,,,,
4884,469066204,False,living_street,12.873,,,연암공원로14길,,,,,,,,
4885,"[734613434, 469066206]",False,living_street,88.36600000000001,"LINESTRING (128.6021912 35.8964988, 128.6021697 35.8968923, 128.6021643 35.8969921, 128.6023097 35.897269)",,"['산격로13길', '연암공원로14길']",,,,,,,,
4886,577777135,False,secondary,112.284,,,연암로,,,,,,,,
4887,577777135,False,secondary,167.981,,,연암로,,,,,,,,
4888,469070049,False,service,468.25399999999996,"LINESTRING (128.5952922 35.8970617, 128.5954956 35.8970168, 128.5965064 35.8967939, 128.5966271 35.8968308, 128.5967504 35.8969177, 128.5968282 35.8970329, 128.5968899 35.8971567, 128.5969757 35.8972284, 128.5971528 35.8973088, 128.5974559 35.8973588, 128.5981468 35.897497, 128.5982255 35.8975452, 128.5982485 35.8976258, 128.5982807 35.8979086, 128.5983675 35.897996, 128.5984355 35.8980263, 128.5993685 35.8980642, 128.5996403 35.8980629)",,연암공원로17길,,,,,,,,
4889,577777134,False,residential,223.90699999999998,"LINESTRING (128.5952922 35.8970617, 128.5955672 35.8967703, 128.5956133 35.8965534, 128.5956687 35.8964374, 128.5957438 35.8962152, 128.595915 35.8960129, 128.5960747 35.8958404, 128.5960915 35.8957677, 128.5961112 35.8955316, 128.5962281 35.8952464)",,연암로28길,,,,,,,,
4890,469294677,False,residential,73.555,,,연암공원로,,,,,,,,
4891,734358927,False,service,142.127,,,연암공원로14길,,,,,,,,
4892,469070056,False,service,140.298,"LINESTRING (128.5998535 35.8964815, 128.6007669 35.897338, 128.6008535 35.8974473)",,연암공원로,,,,,,,,
4893,37402500,False,residential,64.057,,,동북로50길,,,,,,,,
4894,37402500,False,residential,51.426,,,동북로50길,,,,,,,,
4895,469112019,False,residential,113.844,,,경진로1길,,,,,,,,
4896,469318918,False,residential,50.097,,,경진로1길,,,,,,,,
4897,469112019,False,residential,91.828,,,경진로1길,,,,,,,,
4898,469112020,False,residential,60.825,,,,,,,,,,,
4899,469112019,False,residential,72.266,"LINESTRING (128.6153009 35.8965044, 128.6150956 35.8966638, 128.6147276 35.8963686)",,경진로1길,,,,,,,,
4900,469112020,False,residential,60.825,,,,,,,,,,,
4901,579775429,False,primary_link,122.036,,,,,,,,,,,
4902,579775429,False,primary_link,18.549,,,,,,,,,,,
4903,469112019,False,residential,52.084,,,경진로1길,,,,,,,,
4904,469112025,False,residential,119.681,,,경진로1길,,,,,,,,
4905,720388413,False,residential,75.135,,,,,,,,,,,
4906,469112019,False,residential,72.266,"LINESTRING (128.6147276 35.8963686, 128.6150956 35.8966638, 128.6153009 35.8965044)",,경진로1길,,,,,,,,
4907,469112021,False,residential,108.089,,,경진로남1길,,,,,,,,
4908,469318928,False,living_street,21.676,,,경진로,,,,,,,,
4909,469318928,False,living_street,53.379000000000005,"LINESTRING (128.6193511 35.8920726, 128.6189701 35.8917422, 128.6189466 35.8917218)",,경진로,,,,,,,,
4910,469112019,False,residential,52.084,,,경진로1길,,,,,,,,
4911,469112019,False,residential,53.974,,,경진로1길,,,,,,,,
4912,469112021,False,residential,117.87,,,경진로남1길,,,,,,,,
4913,469112021,False,residential,27.713,,,경진로남1길,,,,,,,,
4914,469112021,False,residential,111.845,,,경진로남1길,,,,,,,,
4915,"[469112022, 469112023]",False,residential,51.602000000000004,"LINESTRING (128.6157094 35.8949423, 128.6160657 35.895245, 128.6161048 35.8952781)",,"['경진로남1길', '경진로1길']",,,,,,,,
4916,469112023,False,residential,48.325,,,경진로1길,,,,,,,,
4917,469112024,False,residential,112.014,,,동북로50길,,,,,,,,
4918,"[469112022, 469112023]",False,residential,51.602000000000004,"LINESTRING (128.6161048 35.8952781, 128.6160657 35.895245, 128.6157094 35.8949423)",,"['경진로남1길', '경진로1길']",,,,,,,,
4919,469112019,False,residential,113.844,,,경진로1길,,,,,,,,
4920,469112019,False,residential,25.496,,,경진로1길,,,,,,,,
4921,469112023,False,residential,48.325,,,경진로1길,,,,,,,,
4922,37402500,False,residential,51.426,,,동북로50길,,,,,,,,
4923,37402500,False,residential,51.018,,,동북로50길,,,,,,,,
4924,469112024,False,residential,112.014,,,동북로50길,,,,,,,,
4925,469112025,False,residential,119.681,,,경진로1길,,,,,,,,
4926,469112026,False,residential,47.57,,,경진로1길,,,,,,,,
4927,"[469112026, 720388411]",False,residential,51.969,"LINESTRING (128.6156796 35.8956178, 128.6156291 35.8955743, 128.6152844 35.8952773)",,"['경진로남1길', '경진로1길']",,,,,,,,
4928,469112021,False,residential,117.87,,,경진로남1길,,,,,,,,
4929,469112021,False,residential,25.703,,,경진로남1길,,,,,,,,
4930,"[469112026, 720388411]",False,residential,51.969,"LINESTRING (128.6152844 35.8952773, 128.6156291 35.8955743, 128.6156796 35.8956178)",,"['경진로남1길', '경진로1길']",,,,,,,,
4931,469112019,False,residential,29.267,,,경진로1길,,,,,,,,
4932,469112019,False,residential,91.828,,,경진로1길,,,,,,,,
4933,469112026,False,residential,47.57,,,경진로1길,,,,,,,,
4934,474342069,False,residential,46.563,,,,,,,,,,,
4935,474342069,False,residential,34.991,,,,,,,,,,,
4936,475158828,False,residential,56.314,"LINESTRING (128.5569354 35.9329455, 128.5570255 35.9333241, 128.5570537 35.9334428)",,,,,,,,,,
4937,469216884,False,residential,15.74,,,,,,,,,,,
4938,469216889,False,residential,21.298,,,,,,,,,,,
4939,469216885,False,residential,34.172,"LINESTRING (128.5570537 35.9334428, 128.5570925 35.9336258, 128.5571212 35.9337452)",,,,,,,,,,
4940,475158828,False,residential,56.314,"LINESTRING (128.5570537 35.9334428, 128.5570255 35.9333241, 128.5569354 35.9329455)",,,,,,,,,,
4941,469216886,False,residential,95.984,,,,,,,,,,,
4942,469216885,False,residential,34.172,"LINESTRING (128.5571212 35.9337452, 128.5570925 35.9336258, 128.5570537 35.9334428)",,,,,,,,,,
4943,"[475158827, 469216884, 474350430]",False,"['footway', 'residential']",179.39899999999997,"LINESTRING (128.5571212 35.9337452, 128.5560457 35.9338509, 128.5558902 35.9337412, 128.5558594 35.9335541, 128.5560415 35.9335396, 128.5563264 35.9335127)",,,,,,,,,,
4944,469216886,False,residential,95.984,,,,,,,,,,,
4945,469216884,False,residential,50.202,,,,,,,,,,,
4946,469216888,False,residential,19.881,,,,,,,,,,,
4947,"[475158827, 469216884, 474350430]",False,"['footway', 'residential']",179.399,"LINESTRING (128.5563264 35.9335127, 128.5560415 35.9335396, 128.5558594 35.9335541, 128.5558902 35.9337412, 128.5560457 35.9338509, 128.5571212 35.9337452)",,,,,,,,,,
4948,468713281,False,service,14.882,,,,,,,,,,,
4949,579624582,False,secondary,27.095,,,대학로,,,6,,,,,
4950,579624581,False,secondary,18.393,"LINESTRING (128.6121168 35.8950728, 128.61208 35.89504, 128.61198 35.89495)",,대학로,,,6,,,,,
4951,469216884,False,residential,50.202,,,,,,,,,,,
4952,469216884,False,residential,15.74,,,,,,,,,,,
4953,469216888,False,residential,70.141,"LINESTRING (128.5568801 35.9334595, 128.5568422 35.9332861, 128.5562842 35.9333372)",,,,,,,,,,
4954,37400252,False,tertiary,64.908,,,동천로,,,,,,,,
4955,37400252,False,tertiary,112.676,,,동천로,,,,,,,,
4956,469216889,False,residential,60.501000000000005,"LINESTRING (128.5584669 35.9333166, 128.5579153 35.9333645, 128.557799 35.9333763)",,,,,,,,,,
4957,469294671,False,residential,56.184,,,연암공원로14길,,,,,,,,
4958,469294672,False,residential,40.868,,,산격로11길,,,,,,,,
4959,469294671,False,residential,137.562,"LINESTRING (128.6045757 35.8960501, 128.6045766 35.8961426, 128.6045287 35.8963045, 128.6044438 35.8964128, 128.6042967 35.8964961, 128.6041207 35.8965333, 128.603433 35.8965292)",,연암공원로14길,,,,,,,,
4960,469294673,False,residential,160.587,"LINESTRING (128.6045757 35.8960501, 128.6035852 35.8960558, 128.6029069 35.8957242)",,산격로11길,,,,,,,,
4961,55414729,False,residential,60.391,,,산격로9길,,,,,,,,
4962,55414729,False,residential,51.526,,,산격로9길,,,,,,,,
4963,469294671,False,residential,69.354,,,연암공원로14길,,,,,,,,
4964,469304169,False,residential,142.712,,,대구체육관로11길,,,,,,,,
4965,469294672,False,residential,21.058,,,산격로11길,,,,,,,,
4966,471338109,False,living_street,34.4,,,산격로14길,,,,,,,,
4967,583504335,False,tertiary,116.541,,,산격로,,,2,,,,,
4968,583504335,False,tertiary,98.615,"LINESTRING (128.6052627 35.8960484, 128.6052466 35.8960984, 128.60526 35.89675, 128.6053125 35.8969285)",,산격로,,,2,,,,,
4969,469294674,False,residential,19.772,,,산격로북9길,,,,,,,,
4970,469294674,False,residential,17.146,,,산격로북9길,,,,,,,,
4971,469294673,False,residential,160.587,"LINESTRING (128.6029069 35.8957242, 128.6035852 35.8960558, 128.6045757 35.8960501)",,산격로11길,,,,,,,,
4972,469066204,False,living_street,52.873,,,연암공원로14길,,,,,,,,
4973,469066204,False,living_street,31.334,,,연암공원로14길,,,,,,,,
4974,469294674,False,residential,72.055,,,산격로북9길,,,,,,,,
4975,469294677,False,residential,75.481,,,연암공원로,,,,,,,,
4976,577777123,False,secondary,146.571,"LINESTRING (128.5956038 35.8915604, 128.5953544 35.8917579, 128.5948499 35.8922393, 128.5945485 35.8925613)",,연암로,,,2,,,,,
4977,577777123,False,secondary,159.557,"LINESTRING (128.5956038 35.8915604, 128.5958925 35.8913855, 128.5966437 35.8910563, 128.5970473 35.8909564, 128.5971786 35.8909322)",,연암로,,,2,,,,,
4978,469294678,False,residential,27.359,,,연암공원로10길,,,,,,,,
4979,469294678,False,residential,69.381,,,연암공원로10길,,,,,,,,
4980,"[734358918, 734358919]",False,residential,89.38,"LINESTRING (128.5988668 35.8944339, 128.599044 35.8945924, 128.5992908 35.8946706, 128.5996341 35.8949226)",,"['연암공원로12길', '연암공원로10길']",,,,,,,,
4981,469298870,False,residential,60.279,,,연암공원로12길,,,,,,,,
4982,469298869,False,residential,154.809,"LINESTRING (128.5996341 35.8949226, 128.5998004 35.89504, 128.6004495 35.8950269, 128.6012976 35.8950531)",,산격로서9길,,,,,,,,
4983,469298870,False,residential,130.579,"LINESTRING (128.5996341 35.8949226, 128.5996287 35.8957614, 128.5993173 35.8959826)",,연암공원로12길,,,,,,,,
4984,"[734358918, 734358919]",False,residential,89.38,"LINESTRING (128.5996341 35.8949226, 128.5992908 35.8946706, 128.599044 35.8945924, 128.5988668 35.8944339)",,"['연암공원로12길', '연암공원로10길']",,,,,,,,
4985,469298869,False,residential,143.008,,,산격로서9길,,,,,,,,
4986,"[734358920, 469298868]",False,residential,77.917,"LINESTRING (128.6012976 35.8950531, 128.6012995 35.8948496, 128.6013043 35.8943524)",,"['연암공원로10길', '산격로서9길']",,,,,,,,
4987,"[734358916, 469298868, 734358917]",False,residential,164.26600000000002,"LINESTRING (128.6012976 35.8950531, 128.601317 35.8954991, 128.6013468 35.8961706, 128.6014305 35.8965232)",,"['산격로11길', '연암공원로14길', '산격로서9길']",,,,,,,,
4988,469298869,False,residential,154.809,"LINESTRING (128.6012976 35.8950531, 128.6004495 35.8950269, 128.5998004 35.89504, 128.5996341 35.8949226)",,산격로서9길,,,,,,,,
4989,469294674,False,residential,13.513,,,산격로북9길,,,,,,,,
4990,469294674,False,residential,50.959,,,산격로북9길,,,,,,,,
4991,469298869,False,residential,143.008,,,산격로서9길,,,,,,,,
4992,469294677,False,residential,73.555,,,연암공원로,,,,,,,,
4993,469294677,False,residential,183.149,"LINESTRING (128.5993173 35.8959826, 128.5992867 35.8959542, 128.5985642 35.894455)",,연암공원로,,,,,,,,
4994,469298870,False,residential,130.579,"LINESTRING (128.5993173 35.8959826, 128.5996287 35.8957614, 128.5996341 35.8949226)",,연암공원로12길,,,,,,,,
4995,469294678,False,residential,69.381,,,연암공원로10길,,,,,,,,
4996,469298870,False,residential,60.279,,,연암공원로12길,,,,,,,,
4997,469294678,False,residential,150.517,"LINESTRING (128.5996342 35.8943805, 128.5998366 35.8943664, 128.6013043 35.8943524)",,연암공원로10길,,,,,,,,
4998,469294674,False,residential,50.959,,,산격로북9길,,,,,,,,
4999,469294674,False,residential,19.772,,,산격로북9길,,,,,,,,
5000,"[734613457, 469298871]",False,residential,149.563,"LINESTRING (128.6029046 35.8955464, 128.603806 35.8955394, 128.6045649 35.8955449)",,"['산격로북9길', '연암공원로14길']",,,,,,,,
5001,469294671,False,residential,69.354,,,연암공원로14길,,,,,,,,
5002,469294671,False,residential,56.184,,,연암공원로14길,,,,,,,,
5003,"[734613457, 469298871]",False,residential,149.563,"LINESTRING (128.6045649 35.8955449, 128.603806 35.8955394, 128.6029046 35.8955464)",,"['산격로북9길', '연암공원로14길']",,,,,,,,
5004,469066181,False,living_street,27.074,"LINESTRING (128.6053694 35.8978595, 128.6054798 35.8979421, 128.6055902 35.8980247)",,연암공원로32길,,,,,,,,
5005,469066181,False,living_street,72.031,"LINESTRING (128.6053694 35.8978595, 128.6052192 35.8977351, 128.604819 35.8973896)",,연암공원로32길,,,,,,,,
5006,"[734613440, 471339035]",False,residential,94.97900000000001,"LINESTRING (128.6053694 35.8978595, 128.6050186 35.8982416, 128.6047385 35.8985439)",,"['연암공원로32길', '연암공원로20길']",,,,,,,,
5007,55414729,False,residential,51.526,,,산격로9길,,,,,,,,
5008,55414729,False,residential,97.392,,,산격로9길,,,,,,,,
5009,469304168,False,residential,142.209,,,대구체육관로9길,,,,,,,,
5010,55414728,False,tertiary,61.304,,,대구체육관로,,,,,,,,
5011,55414728,False,tertiary,51.955,,,대구체육관로,,,,,,,,
5012,469304169,False,residential,120.28,,,대구체육관로11길,,,,,,,,
5013,471338080,False,residential,7.383,,,대구체육관로12길,,,,,,,,
5014,469304168,False,residential,121.784,,,대구체육관로9길,,,,,,,,
5015,469304168,False,residential,142.209,,,대구체육관로9길,,,,,,,,
5016,"[469304171, 734358911]",False,residential,51.234,"LINESTRING (128.6039532 35.8936452, 128.604329 35.8936406, 128.6045219 35.8936383)",,"['대구체육관로11길', '대구체육관로9길']",,,,,,,,
5017,469318914,False,residential,49.31,,,경진로12길,,,,,,,,
5018,523344881,False,residential,81.916,,,경대로23길,,,,,,,,
5019,523344881,False,residential,88.167,,,경대로23길,,,,,,,,
5020,469318914,False,residential,79.065,"LINESTRING (128.6168889 35.8921095, 128.6164972 35.8917521, 128.6164504 35.8915221)",,경진로12길,,,,,,,,
5021,37399161,False,tertiary,38.83,,,경진로,,,,,,,,
5022,37399161,False,tertiary,27.961,,,경진로,,,,,,,,
5023,523344881,False,residential,52.551,,,경대로23길,,,,,,,,
5024,524161858,False,residential,51.967,,,경진로,,,,,,,,
5025,524161858,False,residential,3.022,,,경진로,,,,,,,,
5026,37399161,False,tertiary,24.103,"LINESTRING (128.6169442 35.8933302, 128.61682 35.89343, 128.6167538 35.8934825)",,경진로,,,,,,,,
5027,37399161,False,tertiary,92.815,"LINESTRING (128.6169442 35.8933302, 128.6176485 35.8927645, 128.6176766 35.8927431)",,경진로,,,,,,,,
5028,469318914,False,residential,49.31,,,경진로12길,,,,,,,,
5029,469318914,False,residential,47.192,,,경진로12길,,,,,,,,
5030,720388412,False,living_street,90.186,,,경진로12길,,,,,,,,
5031,469318918,False,residential,119.52,,,경진로1길,,,,,,,,
5032,469318918,False,residential,98.479,,,경진로1길,,,,,,,,
5033,469318919,False,residential,69.013,,,동북로52길,,,,,,,,
5034,469318920,False,residential,47.899,,,동북로52길,,,,,,,,
5035,469112021,False,residential,93.034,,,경진로남1길,,,,,,,,
5036,469112021,False,residential,25.689,,,경진로남1길,,,,,,,,
5037,469318920,False,residential,55.597,,,동북로52길,,,,,,,,
5038,469318921,False,living_street,48.829,,,동북로52길,,,,,,,,
5039,469318922,False,residential,2.7,,,경대로27길,,,,,,,,
5040,469318922,False,residential,1.605,,,경대로27길,,,,,,,,
5041,469318928,False,living_street,28.029,"LINESTRING (128.6197277 35.8923993, 128.619715 35.8923883, 128.6195153 35.8922151)",,경진로,,,,,,,,
5042,469318922,False,residential,63.655,,,경대로27길,,,,,,,,
5043,584386583,False,secondary,40.794,,,경대로,,,,,,,,
5044,584386583,False,secondary,105.748,,,경대로,,,,,,,,
5045,469318920,False,residential,55.597,,,동북로52길,,,,,,,,
5046,469318920,False,residential,47.899,,,동북로52길,,,,,,,,
5047,469318922,False,residential,72.264,,,경대로27길,,,,,,,,
5048,469318922,False,residential,115.895,,,경대로27길,,,,,,,,
5049,55483212,False,primary,31.406,,4;25,동북로,,,,,,,,
5050,469318924,False,residential,73.453,,,,,,,,,,,
5051,55483212,False,primary,120.69999999999999,"LINESTRING (128.6200217 35.8936426, 128.6192259 35.8942547, 128.61905 35.89439)",4;25,동북로,,,,,,,,
5052,469318918,False,residential,23.5,,,경진로1길,,,,,,,,
5053,469318918,False,residential,119.52,,,경진로1길,,,,,,,,
5054,469318924,False,residential,73.453,,,,,,,,,,,
5055,469318918,False,residential,1.882,,,경진로1길,,,,,,,,
5056,842061126,False,pedestrian,1.882,,,,,,,,,,,
5057,469318918,False,residential,23.5,,,경진로1길,,,,,,,,
5058,469318925,False,living_street,42.875,,,,,,,,,,,
5059,469318922,False,residential,5.067,,,경대로27길,,,,,,,,
5060,469318922,False,residential,3.447,,,경대로27길,,,,,,,,
5061,469318925,False,living_street,42.875,,,,,,,,,,,
5062,37399161,False,tertiary,58.8,,,경진로,,,,,,,,
5063,37399161,False,tertiary,60.105,,,경진로,,,,,,,,
5064,469318926,False,residential,103.658,,,경진로,,,,,,,,
5065,578097002,False,residential,105.201,,,경진로,,,,,,,,
5066,469318922,False,residential,63.655,,,경대로27길,,,,,,,,
5067,469318922,False,residential,21.113,,,경대로27길,,,,,,,,
5068,469318926,False,residential,103.658,,,경진로,,,,,,,,
5069,469318922,False,residential,21.113,,,경대로27길,,,,,,,,
5070,469318922,False,residential,47.162,,,경대로27길,,,,,,,,
5071,469318927,False,residential,27.517,"LINESTRING (128.6201363 35.8920968, 128.6202283 35.8921956, 128.6203202 35.8922944)",,동북로58길,,,,,,,,
5072,469318922,False,residential,9.925,,,경대로27길,,,,,,,,
5073,469318922,False,residential,72.264,,,경대로27길,,,,,,,,
5074,469318929,False,residential,40.971000000000004,"LINESTRING (128.6188974 35.8930719, 128.6188834 35.8930608, 128.6185716 35.8928148)",,경대로27길,,,,,,,,
5075,469112021,False,residential,25.963,,,경진로남1길,,,,,,,,
5076,469112021,False,residential,108.089,,,경진로남1길,,,,,,,,
5077,469318929,False,residential,10.198,,,경대로27길,,,,,,,,
5078,469846355,False,living_street,16.631,,,경진로,,,,,,,,
5079,469318918,False,residential,98.479,,,경진로1길,,,,,,,,
5080,469318918,False,residential,50.097,,,경진로1길,,,,,,,,
5081,469318930,False,residential,47.925,,,경대로27길,,,,,,,,
5082,469112021,False,residential,50.629,,,경진로남1길,,,,,,,,
5083,469112021,False,residential,17.816,,,경진로남1길,,,,,,,,
5084,734359015,False,living_street,51.413,,,,,,,,,,,
